Position_X,Position_Y,WKNN_IDW_Pred_X,WKNN_IDW_Pred_Y,WKNN_IDW_Error,WKNN_C2F_Pred_X,WKNN_C2F_Pred_Y,WKNN_C2F_Error,NN_Regression_Pred_X,NN_Regression_Pred_Y,NN_Regression_Error,NN_Classification_Pred_X,NN_Classification_Pred_Y,NN_Classification_Error,CNN_Regression_Pred_X,CNN_Regression_Pred_Y,CNN_Regression_Error,Ensemble_Pred_X,Ensemble_Pred_Y,Ensemble_Error
-40.0,-12.5,-5.217204979944917,-7.7196302467331375,35.109753123386064,-5.217204979944917,-7.7196302467331375,35.109753123386064,-36.413780642285275,-3.3438764941584473,9.833390409002991,-12.5,-40.0,38.890872965260115,-12.07643311834683,13.396940267744382,38.08381680747451,-16.421656692493585,-2.1965189838152126,25.73130377920079
25.0,-15.0,22.540831284621415,-16.73440974741423,3.0092670108553428,22.540831284621415,-16.73440974741423,3.0092670108553428,23.82457646410682,-13.791566878196583,1.6858028053729115,80.0,22.5,66.56763477847174,23.62664854490341,-15.396512332848669,1.4294461337584612,25.53961970506989,-13.92685249695456,1.2011806647596261
25.0,-25.0,-9.578382086084654,-17.546802514347874,35.37251278113263,-9.423781608261539,-17.86405532260792,35.155631791394185,9.710434145442294,-24.152509325829048,15.313035769032332,80.0,22.5,72.67220926874316,23.07150296097125,-16.29585013556965,8.915229985368045,8.322921514450465,-17.579042289074216,18.253645119825467
35.0,-42.5,83.30590917651257,-29.457294295385367,50.03571757721346,83.30590917651257,-29.457294295385367,50.03571757721346,68.05438417217238,-38.82928060156479,33.25757799214501,-47.5,55.0,127.72039774444801,25.562189409634268,-50.915453952259554,12.644846142291353,58.32863712953575,-34.40468948269407,24.69330603003895
15.0,-10.0,-0.5885808645608521,-11.790844200213126,15.69111137938896,-0.3832304393772822,-10.916474356351225,15.410506286194272,10.457349885968393,-11.648328343766174,4.8324586275905475,0.0,50.0,61.84658438426491,14.632848655926582,-7.312976049584542,2.7119914858939387,6.707503132246912,-7.879068434929954,8.55943076409905
-2.5,-32.5,-5.379685272859993,-33.22166449026258,2.968734900127104,-5.379685272859993,-33.22166449026258,2.968734900127104,-1.0450769005320275,-30.60358444996555,2.390228684410335,-2.5,-30.0,2.5,-3.689710296200193,-30.415447861372574,2.400160037901833,-3.5528376653030036,-31.58780712942291,1.3930409120382474
-7.5,-32.5,-3.0078910425526306,-34.06860137520048,4.7581039458864,-1.8841256716190606,-34.84184197293208,6.08459269781918,-4.169289574114902,-34.01720459901598,3.659992040479725,50.0,-37.5,57.716981903075975,-9.960479722441569,-48.807115528617615,16.49169419217528,-2.7933219388663044,-38.230087305933395,7.4153030217770795
25.0,7.5,22.2997927726268,11.351578828167554,4.703804687733856,21.98564206599253,11.39202766533315,4.922827754658129,27.27214256618837,8.677984391674663,2.5593512983008413,55.0,-42.5,58.309518948453004,31.949769010512888,10.65182379758686,7.63107348611715,27.55875776942481,8.203915677620937,2.6538158571747896
17.5,-55.0,16.770146094669368,-52.61010050170955,2.498861007550301,16.770146094669368,-52.61010050170955,2.498861007550301,10.14522036883782,-49.579519405543934,9.136432197407961,40.0,-47.5,23.717082451262844,-2.8235198927442546,-55.16369788067976,20.324179142757785,10.623481629927126,-52.19030543397859,7.428383972862466
77.5,25.0,75.95018074635968,22.760710050562388,2.723299321890003,75.11716892933951,23.745343303006045,2.692962557967857,70.23771792292115,20.315020380119805,8.642324629736695,40.0,-47.5,81.62413858657254,68.71032536766926,23.10180050583604,8.99230456901249,70.74600831716094,19.476447350016578,8.725023640598232
