Position_X,Position_Y,WKNN_IDW_Pred_X,WKNN_IDW_Pred_Y,WKNN_IDW_Error,WKNN_C2F_Pred_X,WKNN_C2F_Pred_Y,WKNN_C2F_Error,NN_Regression_Pred_X,NN_Regression_Pred_Y,NN_Regression_Error,NN_Classification_Pred_X,NN_Classification_Pred_Y,NN_Classification_Error,CNN_Regression_Pred_X,CNN_Regression_Pred_Y,CNN_Regression_Error,Ensemble_Pred_X,Ensemble_Pred_Y,Ensemble_Error
-32.5,17.5,-38.15186360599019,8.88934223990836,10.299853847610787,-39.538322281485144,9.962340802691685,10.31282147197443,-33.05425379513967,43.29532280104478,25.801276628871054,-22.5,67.5,50.99019513592785,-36.26437268544395,16.492105701053628,3.8969671069647367,-35.91757906482468,22.374137661324532,5.952903880113478
67.5,-30.0,70.84765974329581,-34.86441083156367,5.905024851354758,69.78204221240637,-33.36787014214222,4.068201808359269,72.50257486976838,-28.307418381924734,5.281154027434195,5.0,-52.5,66.42665127793211,77.27185822081564,-29.66469851057839,9.77760912373422,68.11887656134147,-33.01336891574587,3.0762640362233684
-47.5,37.5,-19.883064657360457,36.83062512744875,27.625046252260574,-17.7464336172158,35.1726348182008,29.84445243565707,-30.86288744894847,31.867454872114607,17.56471117479652,70.0,70.0,121.91185340236609,-34.078599486931886,22.219685571259006,20.337699003903445,-19.149997497277308,34.2397407270562,28.536852181542358
12.5,45.0,11.78368155253683,48.285876430603416,3.363048622213347,13.472080877340883,49.31937947434983,4.427412367910452,20.390068704994942,41.84658830155442,8.496892932680392,-5.0,82.5,41.382363393117124,21.168115417541355,48.400605864185756,9.311302010747621,15.116961809053805,49.31784780455536,5.0489898765346855
30.0,52.5,26.49125095658723,52.56574315257974,3.5093649014830524,26.041888662665905,51.832059053586995,4.014074048473421,18.43580503200208,57.21577292595732,12.488759728133955,10.0,80.0,34.00367627183861,24.275703055822845,52.889322908648936,5.737521052886411,23.011258452353868,55.2768885187632,7.520213977370201
-15.0,45.0,-16.125149940592074,52.854150442333115,7.934333088522047,-14.897187783523519,53.01500563221701,8.015665015226574,17.474108778078,57.80175833909624,34.906342654352414,80.0,-57.5,139.75424859373686,6.210482110459138,37.799198934096125,22.399466229105318,2.8646599111036943,43.59209597510232,17.920052106026883
30.0,85.0,23.02931091103312,83.6710730175428,7.096235149693442,23.21669024143647,82.27911384491446,7.308660119991855,17.15763431527795,69.41942076040928,20.19110709746476,12.5,-62.5,148.53450777512947,10.489943746349887,83.01557507436132,19.610717409265984,18.321449799394216,70.53430890850822,18.591523701475733
-17.5,82.5,-26.386939090470896,79.92177800363164,9.253373172000432,-27.363283287381684,81.0798935322873,9.964991700286673,5.259199733906852,82.16385510131245,22.761681965987915,-20.0,52.5,30.103986446980738,-7.475185607529593,75.16338504006885,12.422673732887274,-14.92069334732735,77.90101653025403,5.272899749048725
-35.0,17.5,18.333333333333332,-4.166666666666666,57.56638679723514,16.270394592157793,-6.915947295731091,56.78725071689491,3.5613315357670707,17.316318925687405,38.561769001802865,-25.0,75.0,58.36308764964376,3.4426465684561105,15.430057636970938,38.49833420517689,8.42950752646001,9.41340477308369,44.17595665466491
0.0,55.0,-6.993333197836126,61.99333319783613,9.89006665457386,-5.139969033695992,60.707266544148226,7.680636241439074,-7.925689256478815,51.38719341334132,8.710276782219267,35.0,52.5,35.0891721190455,0.41960785097778697,55.440399026039714,0.6082943783555173,-2.414280769825149,57.232304593945315,3.288150762312591
