Position_X,Position_Y,WKNN_IDW_Pred_X,WKNN_IDW_Pred_Y,WKNN_IDW_Error,NN_Regression_Pred_X,NN_Regression_Pred_Y,NN_Regression_Error,CNN_Regression_Pred_X,CNN_Regression_Pred_Y,CNN_Regression_Error
-40.0,-12.5,-3.448202835294616,-6.72372260561178,37.0053949648789,-41.81822595101929,-8.433434122429567,4.454537422177549,-19.887618387365713,4.618553013870878,26.41122396673311
25.0,-15.0,22.513525115203702,-16.689668200400277,3.0062494873457646,25.787677984979787,-14.135720399624137,1.1693655697204697,26.200538562064054,-14.854398953069687,1.2093355629725067
25.0,-25.0,-9.271639978107705,-17.505165636542234,35.08158846068259,10.422146203809413,-23.78919151182747,14.62805108338561,24.681806873410114,-25.794793754715133,0.8561214740579908
35.0,-42.5,83.32350734831482,-29.272419390972665,50.101200097512155,53.22789811151849,-39.44931956156776,18.481420960016372,29.732315122504588,-56.15348461392277,14.634416492338179
15.0,-10.0,-0.7447646033741351,-11.70636086638041,15.836959298488381,10.223261537513931,-8.421247340310412,5.0308737113418704,14.462708188034402,-10.131568775388509,0.5531661900934546
-2.5,-32.5,-5.132451709891669,-33.29323131322094,2.749366821867499,-2.2106599813668772,-28.703368234315203,3.8076410559018656,5.216934255341181,-29.2669265328356,8.366829647204524
-7.5,-32.5,-2.6747958325812533,-34.13293435491469,5.094022954869352,-3.851446663054368,-32.52590113879529,3.64864527208771,-10.734031647823222,-39.75410465287668,7.942354500650877
25.0,7.5,22.42292471501122,11.563901586119519,4.812131869157862,24.41555510840552,11.493732614026458,4.036270063269985,25.281770871422935,7.4046518401951475,0.29746612506403497
17.5,-55.0,16.69385094090034,-52.52728428113528,2.600807438432906,7.39050111679942,-51.48028066070785,10.704690182196819,-3.9761257943470873,-48.37689097469641,22.474197478345655
77.5,25.0,75.87201772432527,22.58624126917204,2.9114528161313666,73.10166080623958,22.311228226506813,5.155083055907322,72.91446574507751,12.383822169955064,13.423675630854051
72.5,32.5,70.10444134236496,31.671712330978902,2.5347113730802917,67.43974217524759,26.669314570906085,7.720304516404525,75.65881754730131,23.160193829021768,9.859518629658433
7.5,-2.5,8.349577773578094,-6.671556786132583,4.257190201680765,7.418994889533142,-0.009494290059379296,2.4918227302857203,13.461051617999441,-2.1439293060793094,5.971676710231635
62.5,-45.0,69.99054848016848,-48.33955182589452,8.201275689280894,62.227826657244464,-43.24624565572121,1.7747486099680285,61.10173763528751,-40.355737854559536,4.850186441379612
10.0,17.5,33.02209651794022,22.338344217982264,23.525018657868003,4.7140795108202465,11.33300749424168,8.122361232056205,18.210015013067295,8.370389960753156,12.278197179696502
77.5,5.0,7.93734331250986,49.44743256408468,82.55021179234171,-18.63503587276312,47.401458516370056,105.07058963655294,13.673617191357918,57.54047694897366,82.66987879790894
15.0,-7.5,-3.403000968307627,-10.028747726691728,18.575925541000103,1.4601100301126166,-5.601577093993438,13.672330815435508,15.801972565532612,-6.106346476132771,1.6079272808353322
17.5,22.5,26.560353367804346,24.1332799926927,9.206389448856365,27.132604460931333,17.136353076590304,11.025233649213812,19.617279253559982,30.722568729568422,8.49078959520444
0.0,42.5,-0.8227137614656252,42.53103675040093,0.8232989816466235,5.310066092156919,37.852755552508455,7.056463906080414,-11.735240967410324,48.291648697393185,13.086599069170024
50.0,-40.0,24.278138190592678,-38.320036512614465,25.776664878552374,48.70268263166878,-37.813763984556616,2.5421762860579933,45.91843332299813,-37.90032731080446,4.589968620869396
-47.5,-25.0,-42.48532702317198,-23.205412424447225,5.3261139333342795,-31.573041498542807,-21.202037131363024,16.373531355779203,-32.29292567559578,-30.049467642373816,16.02349003742113
37.5,60.0,29.196690303340745,65.0510930956162,9.718975942928207,32.71423875476387,58.56669342002711,4.995786069138437,33.62357614665768,67.35171565088237,8.311100101803014
50.0,62.5,51.63632010275468,64.91428066241099,2.916555261874996,48.20283645330485,57.509804034043924,5.303946888140397,57.52781924720944,54.85430621964251,10.72961770062914
85.0,-40.0,77.49778829497109,-36.74572917612949,8.177619400667146,71.42673554397513,-35.81470472753466,14.20387991046492,79.98247523253443,-41.889594584084165,5.361541054988823
-25.0,-42.5,-26.643880901203012,-39.17145587480411,3.712351062428781,-24.48124474242077,-42.97429354377371,0.7028950013561902,-29.754470458415767,-33.63202994700927,10.062101281575764
-12.5,20.0,-14.99841373635322,21.65369896020413,2.996129411253573,-14.077489257445329,27.212765432440726,7.383255213032207,-6.310150670219613,30.070688912820916,11.820871791208837
30.0,-55.0,-22.83224341633185,-50.78423932728148,53.00017530586272,38.25623778306938,-47.288354133086415,11.297563644754021,32.209408269862436,-46.30977461785983,8.966688468734139
37.5,-25.0,58.35355363007317,-19.16521334763715,21.65445529864304,51.401555518506186,-17.966569552166153,15.579550368949228,45.336862499653606,-26.81577834877884,8.044467965650119
-32.5,75.0,-32.479653801302284,74.16117465139202,0.8390720667908994,-28.731530300057834,72.22572522175231,4.679526089744927,-29.29231319923553,71.0835685481803,5.062379868066126
0.0,-2.5,3.2613682052301254,-5.852874772435889,4.677423629491238,-0.5341255396559959,-2.790084952082884,0.6078152445749759,-4.1143492368830294,-5.462808024475475,5.070118443679224
0.0,72.5,-2.5390496162331337,70.85221160390245,3.026876203614441,2.9666685529040855,64.3798236547032,8.645136562339989,3.632791612333854,58.55381340792755,14.411568108972201
75.0,-25.0,79.16985657669738,-22.597469624801455,4.8124688127797866,78.34230179115173,-24.02707739832525,3.4810285336356555,74.21524064814449,-29.297760196746307,4.368820201045304
-32.5,12.5,-31.60255420179969,7.432412742538119,5.1464404759695235,-29.89977613484774,14.927409181098962,3.557172961972877,-33.16837462440539,15.49427021185613,3.067960029100443
